Legend:
IS: Best Initial Solution Running 30 times
LS: Local Search with the first random initial Solution Running 1 time
PSPBLI: result of the instances in the PSPLIB


Instance     	    IS(30T)      LS(1T)       PSPLIB          
j102_5.mm            23            19           16	             
j102_6.mm            46            28           16	             
j102_7.mm            -999          -999         25	             
j102_9.mm            17            17           17	             
j1030_1.mm           30            25           16	             
j1030_10.mm          21            18           17	             
j1030_2.mm           33            27           17	             
j1030_3.mm           23            19           17	             
j1030_4.mm           37            17           12	             
j1030_5.mm           43            29           28	             
j1030_6.mm           37            21           22	             
j1030_7.mm           27            19           15	             
j1030_8.mm           35            17           14	             
j1030_9.mm           32            19           15	             
j1031_1.mm           38            23           17	             
j1031_10.mm          32            15           13	             
j1031_2.mm           26            17           15	             
j1031_3.mm           23            14           15	             
j1031_4.mm           41            20           18	             
j1031_5.mm           38            16           15	             
j1031_6.mm           35            26           20	             
j1031_7.mm           32            14           14	             
j1031_8.mm           36            20           16	             
j1031_9.mm           26            19           15	             
j1032_1.mm           44            20           17	             
j1032_10.mm          27            20           13	             
j1032_2.mm           27            12           12	             
j1032_3.mm           36            24           19	             
j1032_4.mm           27            22           12	             
j1032_5.mm           28            28           11	             
j1032_6.mm           31            20           17	             
j1032_7.mm           33            22           16	             
j1032_8.mm           20            20           12	             
j1032_9.mm           36            15           15	             
j1034_1.mm           29            24           23	             
j1034_10.mm          35            29           18	             
j1034_2.mm           -999          -999         12	             
j1034_3.mm           37            39           25	             
j1034_4.mm           38            33           23	             
j1034_5.mm           37            21           22	             
j1034_6.mm           46            36           30	             
j1034_7.mm           39            31           26	             
j1034_8.mm           32            24           19	             
j1034_9.mm           39            34           26	             
j1035_1.mm           47            33           28	             
j1035_10.mm          31            24           20	             
j1035_2.mm           44            40           32	             
j1035_3.mm           52            37           34	             
j1035_4.mm           34            28           23	             
j1035_5.mm           43            28           24	             
j1035_6.mm           37            21           19	             
j1035_7.mm           36            27           22	             
j1035_8.mm           50            33           28	             
j1035_9.mm           39            23           18	             
j1036_1.mm           41            38           32	             
j1036_10.mm          56            35           33	             
j1036_2.mm           43            21           26	             
j1036_3.mm           34            25           17	             
j1036_4.mm           29            32           22	             
j1036_5.mm           33            23           23	             
j1036_6.mm           30            26           21	             
j1036_7.mm           43            31           25	             
j1036_8.mm           43            30           23	             
j1037_1.mm           49            48           36	             
j1037_10.mm          51            51           40	             
j1037_2.mm           31            36           27	             
j1037_3.mm           37            34           29	             
j1037_4.mm           46            47           33	             
j1037_5.mm           44            48           38	             
j1037_6.mm           30            37           28	             
j1037_7.mm           42            30           30	             
j1037_8.mm           48            77           42	             
j1037_9.mm           46            42           31	             
j1038_1.mm           51            34           28	             
j1038_10.mm          44            39           22	             
j1038_2.mm           39            27           25	             
j1038_3.mm           48            40           25	             
j1038_4.mm           39            30           27	             
j1038_5.mm           43            26           22	             
j1038_6.mm           45            30           24	             
j1038_7.mm           46            34           32	             
j1038_8.mm           57            31           31	             
j1038_9.mm           49            37           31	             
j1039_1.mm           46            25           21	             
j1039_10.mm          44            33           31	             
j1039_2.mm           38            27           18	             
j1039_3.mm           38            35           28	             
j1039_4.mm           47            22           17	             
j1039_5.mm           46            34           30	             
j1039_6.mm           42            31           24	             
j1039_7.mm           29            26           17	             
j1039_8.mm           50            33           23	             
j1039_9.mm           40            27           24	             
j103_10.mm           20            21           16	             
j103_2.mm            28            19           13	             
j103_3.mm            29            24           19	             
j103_4.mm            11            20           23	             
j103_5.mm            21            14           21	             
j103_6.mm            14            22           29	             
j103_7.mm            41            15           14	             
j103_8.mm            18            22           24	             
j103_9.mm            9             9            20	             
j1040_1.mm           48            28           19	             
j1040_10.mm          41            23           16	             
j1040_2.mm           41            35           32	             
j1040_3.mm           45            26           25	             
j1040_5.mm           53            26           21	             
j1040_6.mm           42            26           18	             
j1040_7.mm           56            30           28	             
j1040_8.mm           45            33           29	             
j1040_9.mm           51            33           19	             
j1042_1.mm           22            18           17	             
j1042_10.mm          27            17           12	             
j1042_2.mm           27            23           15	             
j1042_3.mm           36            30           25	             
j1042_4.mm           23            19           14	             
j1042_5.mm           27            23           20	             
j1042_6.mm           26            14           12	             
j1042_7.mm           29            36           26	             
j1042_8.mm           29            29           18	             
j1042_9.mm           16            20           12	             
j1043_1.mm           30            20           18	             
j1043_10.mm          23            25           16	             
j1043_2.mm           34            26           15	             
j1043_3.mm           28            19           17	             
j1043_4.mm           25            15           15	             
j1043_5.mm           -999          -999         19	             
j1043_6.mm           33            22           16	             
j1043_7.mm           26            22           12	             
j1043_8.mm           27            22           21	             
j1043_9.mm           26            26           11	             
j1044_1.mm           25            19           18	             
j1044_10.mm          21            18           13	             
j1044_2.mm           32            22           16	             
j1044_3.mm           36            29           20	             
j1044_4.mm           35            29           24	             
j1044_5.mm           38            26           24	             
j1044_7.mm           18            21           15	             
j1044_8.mm           31            17           16	             
j1044_9.mm           21            21           17	             
j1045_1.mm           33            32           27	             
j1045_10.mm          32            30           25	             
j1045_2.mm           29            29           20	             
j1045_3.mm           25            24           18	             
j1045_4.mm           21            18           19	             
j1045_5.mm           36            26           28	             
j1045_6.mm           37            28           23	             
j1045_7.mm           33            38           31	             
j1045_8.mm           33            31           23	             
j1045_9.mm           26            28           24	             
j1046_1.mm           33            32           24	             
j1046_10.mm          36            23           20	             
j1046_2.mm           28            14           14	             
j1046_3.mm           35            20           15	             
j1046_4.mm           27            26           18	             
j1046_5.mm           29            18           18	             
j1046_6.mm           36            27           23	             
j1046_7.mm           33            27           21	             
j1046_8.mm           29            25           21	             
j1046_9.mm           27            24           16	             
j1047_1.mm           40            23           20	             
j1047_10.mm          47            29           29	             
j1047_2.mm           26            26           15	             
j1047_3.mm           23            24           19	             
j1047_4.mm           43            36           25	             
j1047_5.mm           30            19           16	             
j1047_6.mm           33            25           19	             
j1047_7.mm           38            22           18	             
j1047_8.mm           30            23           21	             
j1047_9.mm           30            27           16	             
j1048_1.mm           29            33           16	             
j1048_10.mm          27            20           16	             
j1048_2.mm           35            18           16	             
j1048_3.mm           29            19           13	             
j1048_4.mm           40            16           10	             
j1048_5.mm           24            13           14	             
j1048_6.mm           32            13           14	             
j1048_7.mm           29            20           14	             
j1048_8.mm           45            28           24	             
j1048_9.mm           48            19           16	             
j104_1.mm            14            13           27	             
j104_10.mm           18            12           15	             
j104_2.mm            36            15           20	             
j104_3.mm            10            8            23	             
j104_4.mm            11            13           15	             
j104_5.mm            19            21           31	             
j104_6.mm            26            21           21	             
j104_8.mm            25            18           19	             
j104_9.mm            19            10           21	             
j1050_1.mm           34            22           13	             
j1050_10.mm          23            27           17	             
j1050_2.mm           34            21           20	             
j1050_3.mm           22            18           17	             
j1050_4.mm           32            25           20	             
j1050_5.mm           -999          -999         10	             
j1050_6.mm           -999          -999         12	             
j1050_7.mm           26            26           26	             
j1050_8.mm           21            21           11	             
j1050_9.mm           34            25           20	             
j1051_1.mm           35            24           23	             
j1051_10.mm          24            15           12	             
j1051_2.mm           29            17           14	             
j1051_3.mm           15            14           15	             
j1051_4.mm           29            28           17	             
j1051_5.mm           40            42           29	             
j1051_6.mm           27            10            9	             
j1051_7.mm           30            25           21	             
j1051_8.mm           41            20           14	             
j1051_9.mm           32            21           19	             
j1052_1.mm           22            15           11	             
j1052_10.mm          23            13           10	             
j1052_2.mm           31            21           18	             
j1052_3.mm           19            22            8	             
j1052_4.mm           29            22           15	             
j1052_5.mm           25            22           19	             
j1052_6.mm           21            17           14	             
j1052_7.mm           33            26           16	             
j1052_8.mm           20            17           16	             
j1052_9.mm           19            17           17	             
j1053_1.mm           37            28           28	             
j1053_10.mm          43            35           30	             
j1053_2.mm           37            38           33	             
j1053_3.mm           34            32           26	             
j1053_4.mm           32            24           23	             
j1053_5.mm           38            31           26	             
j1053_6.mm           38            35           29	             
j1053_7.mm           19            19           18	             
j1053_8.mm           28            27           25	             
j1053_9.mm           37            30           29	             
j1054_1.mm           38            22           18	             
j1054_10.mm          32            24           19	             
j1054_2.mm           34            23           22	             
j1054_3.mm           35            26           23	             
j1054_4.mm           34            27           18	             
j1054_5.mm           36            15           14	             
j1054_6.mm           26            23           14	             
j1054_7.mm           35            27           21	             
j1054_8.mm           34            22           18	             
j1054_9.mm           39            22           22	             
j1055_1.mm           34            26           18	             
j1055_10.mm          39            23           17	             
j1055_2.mm           34            22           14	             
j1055_3.mm           29            21           13	             
j1055_4.mm           35            27           24	             
j1055_5.mm           25            25           13	             
j1055_6.mm           29            25           19	             
j1055_7.mm           36            17           16	             
j1055_8.mm           27            24           20	             
j1055_9.mm           31            17           13	             
j1056_1.mm           28            18           14	             
j1056_10.mm          26            18           14	             
j1056_2.mm           28            20           13	             
j1056_3.mm           47            29           23	             
j1056_4.mm           26            17           10	             
j1056_5.mm           27            19           14	             
j1056_6.mm           27            20           13	             
j1056_7.mm           31            23           18	             
j1056_8.mm           31            22           15	             
j1056_9.mm           33            22           14	             
j1058_1.mm           -999 -        -999         19	             
j1058_10.mm          23            23           15	             
j1058_2.mm           24            16           14	             
j1058_3.mm           26            18           19	             
j1058_4.mm           26            22           17	             
j1058_5.mm           34            20           16	             
j1058_6.mm           -999         -999         14	             
j1058_7.mm           -999         -999         13	             
j1058_8.mm           -999         -999         16	             
j1058_9.mm           19            16           11	             
j1059_1.mm           18            17           13	             
j1059_10.mm          25            17           17	             
j1059_2.mm           35            21           15	             
j1059_3.mm           25            16           16	             
j1059_4.mm           23            14           14	             
j1059_5.mm           18            13           13	             
j1059_6.mm           29            17           12	             
j1059_7.mm           18            13           11	             
j1059_8.mm           22            22           12	             
j1059_9.mm           23            15           15	             
j105_1.mm            43            43           42	             
j105_10.mm           31            30           25	             
j105_3.mm            46            44           32	             
j105_4.mm            33            27           23	             
j105_6.mm            45            45           34	             
j105_8.mm            24            43           31	             
j1060_1.mm           34            13           13	             
j1060_10.mm          14            15           15	             
j1060_2.mm           28            20           19	             
j1060_3.mm           27            20            9	             
j1060_4.mm           22            12           13	             
j1060_5.mm           26            18           18	             
j1060_6.mm           25            12           10	             
j1060_7.mm           27            15           15	             
j1060_8.mm           29            13           13	             
j1060_9.mm           20            20           15	             
j1061_1.mm           30            26           24	             
j1061_10.mm          53            42           41	             
j1061_2.mm           28            25           24	             
j1061_3.mm           40            32           32	             
j1061_4.mm           36            27           27	             
j1061_5.mm           23            23           23	             
j1061_6.mm           43            32           30	             
j1061_7.mm           29            24           23	             
j1061_8.mm           40            35           33	             
j1061_9.mm           37            30           26	             
j1062_1.mm           29            19           15	             
j1062_10.mm          33            23           20	             
j1062_2.mm           37            23           23	             
j1062_3.mm           34            19           16	             
j1062_4.mm           39            20           15	             
j1062_5.mm           29            18           18	             
j1062_6.mm           36            23           20	             
j1062_7.mm           30            17           14	             
j1062_8.mm           27            26           19	             
j1062_9.mm           26            20           18	             
j1063_1.mm           33            26           17	             
j1063_10.mm          20            11           10	             
j1063_2.mm           40            19           17	             
j1063_3.mm           27            17           17	             
j1063_4.mm           37            17           12	             
j1063_5.mm           33            15           12	             
j1063_6.mm           30            24           15	             
j1063_7.mm           35            15           15	             
j1063_8.mm           29            25           10	             
j1063_9.mm           33            20           14	             
j1064_1.mm           28            16           16	             
j1064_10.mm          39            15           15	             
j1064_2.mm           27            15           15	             
j1064_3.mm           28            18           14	             
j1064_4.mm           29            18           13	             
j1064_5.mm           27            25           16	             
j1064_6.mm           38            22           11	             
j1064_7.mm           30            12           12	             
j1064_8.mm           28            20           14	             
j1064_9.mm           29            24           17	             
j106_1.mm            23            17           18	             
j106_3.mm            15            5            29	             
j106_4.mm            33            34           23	             
j106_5.mm            35            35           37	             
j106_7.mm            27            14           23	             
j106_8.mm            28            17           23	             
j107_1.mm            36            20           14	             
j107_2.mm            25            26           24	             
j107_3.mm            24            11           23	             
j107_4.mm            15            28           19	             
j107_5.mm            10            32           24	             
j107_6.mm            17            24           36	             
j107_8.mm            18            14           31	             
j107_9.mm            32            26           28	             
j108_10.mm           7             1            23	             
j108_3.mm            34            27           17	             
j108_5.mm            18            7            25	             
j108_6.mm            5             21           23	             
j108_7.mm            12            16           20	             
j108_8.mm            19            20		    14	             		
MRCPSP Execu5777 ms) - DONE(45 s)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
